Category,Book_Title,ISBN_13,ISBN_10,Our_Price,Competitor_Prices,Lowest_Competitor_Price,Highest_Competitor_Price,Offer_Count,Price_Source,Price_Status
Nonfiction,In the Country We Love: My Family Divided,9781627795289,1627795286,Â£22.00,[],,,0,booksrun_internal_api,not_found
Science,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,9781613731109,1613731108,Â£57.36,[],,,0,booksrun_internal_api,not_found
Sequential Art,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",9781632159403,1632159406,Â£29.17,[],,,0,booksrun_internal_api,not_found
Sequential Art,I am a Hero Omnibus Volume 1,9781616559205,1616559209,Â£54.63,[],,,0,booksrun_internal_api,not_found
Self Help,How to Be Miserable: 40 Strategies You Already Use,9781626254084,1626254087,Â£46.03,[],,,0,booksrun_internal_api,not_found
Romance,Her Backup Boyfriend (The Sorensen Family #1),9781633751347,1633751341,Â£33.97,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Giant Days, Vol. 2 (Giant Days #5-8)",9781939867223,1939867223,Â£22.11,[],,,0,booksrun_internal_api,not_found
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,9781432863678,1432863673,Â£29.69,[],,,0,booksrun_internal_api,not_found
Romance,First and First (Five Boroughs #3),9791222430317,nan,Â£15.97,[],,,0,booksrun_internal_api,not_found
Romance,Fifty Shades Darker (Fifty Shades #2),9780525634669,0525634665,Â£21.96,[],,,0,booksrun_internal_api,not_found
Nonfiction,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,9781629561011,1629561010,Â£54.35,[],,,0,booksrun_internal_api,not_found
Religion,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",9781608683895,1608683893,Â£37.97,[],,,0,booksrun_internal_api,not_found
Sequential Art,Danganronpa Volume 1,9781616559281,1616559284,Â£51.99,[13.96],13.96,13.96,1,booksrun_internal_api,found
Fantasy,Crown of Midnight (Throne of Glass #2),9781526634368,1526634368,Â£43.29,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Codename Baboushka, Volume 1: The Conclave of Death",9781632159724,1632159724,Â£36.72,[],,,0,booksrun_internal_api,not_found
Sequential Art,Camp Midnight,9781534313415,1534313419,Â£17.08,[],,,0,booksrun_internal_api,not_found
Nonfiction,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,9781611459173,1611459176,Â£29.14,[],,,0,booksrun_internal_api,not_found
Young Adult,Burning,9780429664052,0429664052,Â£28.81,[],,,0,booksrun_internal_api,not_found
Default,Bossypants,9780316198035,031619803X,Â£49.46,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",9781632156457,1632156458,Â£37.92,[],,,0,booksrun_internal_api,not_found
Fantasy,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",9781630085940,1630085944,Â£28.09,[],,,0,booksrun_internal_api,not_found
Nonfiction,Algorithms to Live By: The Computer Science of Human Decisions,9780007547982,0007547986,Â£30.81,[],,,0,booksrun_internal_api,not_found
Default,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",9781627201025,1627201025,Â£56.76,[],,,0,booksrun_internal_api,not_found
Mystery,A Murder in Time,9781681771151,1681771152,Â£16.64,[],,,0,booksrun_internal_api,not_found
Historical Fiction,A Flight of Arrows (The Pathfinders #2),9781601427359,1601427352,Â£55.53,[],,,0,booksrun_internal_api,not_found
Young Adult,A Fierce and Subtle Poison,9781616205881,1616205881,Â£28.13,[],,,0,booksrun_internal_api,not_found
Fantasy,A Court of Thorns and Roses (A Court of Thorns and Roses #1),9781408857878,1408857871,Â£52.37,[],,,0,booksrun_internal_api,not_found
Christian,(Un)Qualified: How God Uses Broken People to Do Big Things,9781601424600,1601424604,Â£54.00,[],,,0,booksrun_internal_api,not_found
Religion,You Are What You Love: The Spiritual Power of Habit,9781493403660,1493403664,Â£21.87,[],,,0,booksrun_internal_api,not_found
Science Fiction,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",9798337401287,nan,Â£43.30,[],,,0,booksrun_internal_api,not_found
Fiction,Tuesday Nights in 1980,9783471351314,3471351310,Â£21.04,[],,,0,booksrun_internal_api,not_found
Default,Tracing Numbers on a Train,9781530982011,1530982014,Â£41.60,[],,,0,booksrun_internal_api,not_found
Fantasy,Throne of Glass (Throne of Glass #1),9781408832349,1408832348,Â£35.07,[],,,0,booksrun_internal_api,not_found
History,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,9781533676245,1533676240,Â£59.64,[],,,0,booksrun_internal_api,not_found
Default,Thirteen Reasons Why,9781101539927,1101539925,Â£52.72,[],,,0,booksrun_internal_api,not_found
Romance,The Wedding Dress,9780762411191,0762411198,Â£24.12,[],,,0,booksrun_internal_api,not_found
Fiction,The Vacationers,9781101618042,1101618043,Â£42.15,[],,,0,booksrun_internal_api,not_found
Business,The Third Wave: An Entrepreneurâs Vision of the Future,9781501132605,1501132601,Â£12.61,[],,,0,booksrun_internal_api,not_found
Sequential Art,The Shadow Hero (The Shadow Hero),9781466861749,1466861746,Â£33.14,[],,,0,booksrun_internal_api,not_found
Default,The Secret (The Secret #1),9781582701707,1582701709,Â£27.37,[25.89],25.89,25.89,1,booksrun_internal_api,found
Fiction,The Regional Office Is Under Attack!,9781473551336,1473551331,Â£51.36,[],,,0,booksrun_internal_api,not_found
Default,The Psychopath Test: A Journey Through the Madness Industry,9781101515167,1101515163,Â£36.00,[],,,0,booksrun_internal_api,not_found
Science Fiction,The Project,9780273723226,0273723227,Â£10.65,[],,,0,booksrun_internal_api,not_found
Nonfiction,The Power of Now: A Guide to Spiritual Enlightenment,9780340898918,0340898917,Â£43.54,[],,,0,booksrun_internal_api,not_found
Nonfiction,The Omnivore's Dilemma: A Natural History of Four Meals,9781101147177,1101147172,Â£38.21,[],,,0,booksrun_internal_api,not_found
Food and Drink,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,9781501104053,1501104055,Â£37.34,[],,,0,booksrun_internal_api,not_found
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),9780425173893,0425173895,Â£44.10,[],,,0,booksrun_internal_api,not_found
New Adult,The Mistake (Off-Campus #2),9780349440866,0349440867,Â£43.29,[],,,0,booksrun_internal_api,not_found
Food and Drink,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,9780698404779,0698404777,Â£37.60,[],,,0,booksrun_internal_api,not_found
Crime,The Long Shadow of Small Ghosts: Murder and Memory in an American City,9781501104275,1501104276,Â£10.97,[17.89],17.89,17.89,1,booksrun_internal_api,found
Default,The Kite Runner,9781526634054,1526634058,Â£41.82,[],,,0,booksrun_internal_api,not_found
Historical Fiction,The House by the Lake,9781473506558,1473506557,Â£36.95,[],,,0,booksrun_internal_api,not_found
Fantasy,The Glittering Court (The Glittering Court #1),9781760142582,1760142581,Â£44.28,[],,,0,booksrun_internal_api,not_found
Default,The Girl on the Train,9781786825131,1786825139,Â£55.02,[],,,0,booksrun_internal_api,not_found
Nonfiction,The Genius of Birds,9781472114372,147211437X,Â£17.24,[],,,0,booksrun_internal_api,not_found
Food and Drink,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,9780358353997,0358353998,Â£41.25,[37.29],37.29,37.29,1,booksrun_internal_api,found
Default,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,9781503595606,1503595609,Â£32.00,[],,,0,booksrun_internal_api,not_found
Nonfiction,The Artist's Way: A Spiritual Path to Higher Creativity,9781782837657,1782837655,Â£38.49,[],,,0,booksrun_internal_api,not_found
Default,The Art of War,9780465013272,0465013279,Â£33.34,[],,,0,booksrun_internal_api,not_found
Autobiography,The Argonauts,9780520313804,0520313801,Â£10.93,[],,,0,booksrun_internal_api,not_found
Business,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,9780698402775,0698402774,Â£27.55,[],,,0,booksrun_internal_api,not_found
Romance,Suddenly in Love (Lake Haven #1),9780999332108,0999332104,Â£55.99,[],,,0,booksrun_internal_api,not_found
Science Fiction,Soft Apocalypse,9781405522656,1405522658,Â£26.12,[],,,0,booksrun_internal_api,not_found
Nonfiction,So You've Been Publicly Shamed,9781509829453,1509829458,Â£12.23,[],,,0,booksrun_internal_api,not_found
Business,Shoe Dog: A Memoir by the Creator of NIKE,9781501135934,1501135937,Â£23.99,[],,,0,booksrun_internal_api,not_found
Add a comment,"Shobu Samurai, Project Aryoku (#3)",9781514417089,1514417081,Â£29.06,[],,,0,booksrun_internal_api,not_found
Default,Secrets and Lace (Fatal Hearts #1),9781530253296,1530253292,Â£20.27,[],,,0,booksrun_internal_api,not_found
Young Adult,Scarlett Epstein Hates It Here,9780698197497,0698197496,Â£43.55,[],,,0,booksrun_internal_api,not_found
Default,Romero and Juliet: A Tragic Tale of Love and Zombies,9781530757107,153075710X,Â£36.94,[],,,0,booksrun_internal_api,not_found
Christian Fiction,Redeeming Love,9781601422880,1601422881,Â£20.47,[],,,0,booksrun_internal_api,not_found
Default,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,9781530106110,1530106117,Â£41.06,[17.83],17.83,17.83,1,booksrun_internal_api,found
Poetry,Poems That Make Grown Women Cry,9781501121852,1501121855,Â£14.19,[],,,0,booksrun_internal_api,not_found
Poetry,Night Sky with Exit Wounds,9781619321564,1619321564,Â£41.05,[],,,0,booksrun_internal_api,not_found
Historical Fiction,Mrs. Houdini,9781501110917,1501110918,Â£30.25,[17.24],17.24,17.24,1,booksrun_internal_api,found
Add a comment,Modern Romance,9781135895259,1135895252,Â£28.26,[],,,0,booksrun_internal_api,not_found
Default,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),9780316323796,0316323799,Â£10.76,[],,,0,booksrun_internal_api,not_found
Biography,Louisa: The Extraordinary Life of Mrs. Adams,9781101980828,1101980826,Â£16.85,[],,,0,booksrun_internal_api,not_found
Childrens,Little Red,9781538393161,1538393166,Â£13.47,[],,,0,booksrun_internal_api,not_found
Young Adult,Library of Souls (Miss Peregrineâs Peculiar Children #3),9781594749315,1594749310,Â£48.56,[16.71],16.71,16.71,1,booksrun_internal_api,found
Default,Large Print Heart of the Pride,9781589604827,1589604822,Â£19.15,[46.11],46.11,46.11,1,booksrun_internal_api,found
Womens Fiction,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,9781501151101,150115110X,Â£57.36,[18.68],18.68,18.68,1,booksrun_internal_api,found
Fantasy,Hollow City (Miss Peregrineâs Peculiar Children #2),9781594746208,1594746206,Â£42.98,[],,,0,booksrun_internal_api,not_found
Travel,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,9781510705678,1510705678,Â£49.43,[],,,0,booksrun_internal_api,not_found
Young Adult,Frostbite (Vampire Academy #2),9786028590167,6028590169,Â£29.99,[],,,0,booksrun_internal_api,not_found
Horror,Follow You Home,9780648037712,0648037711,Â£21.36,[],,,0,booksrun_internal_api,not_found
Default,First Steps for New Christians (Print Edition),9781630872915,1630872911,Â£29.00,[],,,0,booksrun_internal_api,not_found
Fiction,Finders Keepers (Bill Hodges Trilogy #2),9781473698970,1473698979,Â£53.53,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Fables, Vol. 1: Legends in Exile (Fables #1)",9781401236021,1401236022,Â£41.62,[],,,0,booksrun_internal_api,not_found
Default,Eureka Trivia 6.0,9781511603256,1511603259,Â£54.59,[],,,0,booksrun_internal_api,not_found
Default,Drive: The Surprising Truth About What Motivates Us,9781101524381,1101524383,Â£34.95,[],,,0,booksrun_internal_api,not_found
Default,Done Rubbed Out (Reightman & Bailey #1),9783110679403,311067940X,Â£37.72,[],,,0,booksrun_internal_api,not_found
Romance,Doing It Over (Most Likely To #1),9781481457217,1481457217,Â£35.61,[],,,0,booksrun_internal_api,not_found
Food and Drink,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",9781501127618,1501127616,Â£42.16,[],,,0,booksrun_internal_api,not_found
Nonfiction,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",9781101594995,1101594993,Â£19.43,[],,,0,booksrun_internal_api,not_found
Christian Fiction,Close to You,9781118128237,1118128230,Â£49.46,[],,,0,booksrun_internal_api,not_found
Spirituality,Chasing Heaven: What Dying Taught Me About Living,9781501124938,1501124935,Â£37.80,[],,,0,booksrun_internal_api,not_found
Nonfiction,Big Magic: Creative Living Beyond Fear,9781408866764,1408866765,Â£30.80,[],,,0,booksrun_internal_api,not_found
Nonfiction,Becoming Wise: An Inquiry into the Mystery and Art of Living,9781472152411,1472152417,Â£27.43,[],,,0,booksrun_internal_api,not_found
Default,Beauty Restored (Riley Family Legacy Novellas #3),9781476605449,1476605440,Â£11.11,[],,,0,booksrun_internal_api,not_found
Sequential Art,Batman: The Long Halloween (Batman),9781401256166,1401256163,Â£36.50,[],,,0,booksrun_internal_api,not_found
Sequential Art,Batman: The Dark Knight Returns (Batman),9781401235857,1401235859,Â£15.38,[],,,0,booksrun_internal_api,not_found
Default,Ayumi's Violin,9781515287308,1515287300,Â£15.48,[16.61],16.61,16.61,1,booksrun_internal_api,found
Default,Anonymous,9780124079267,0124079261,Â£46.82,[],,,0,booksrun_internal_api,not_found
Default,Amy Meets the Saints and Sages,9781530449118,1530449111,Â£18.46,[17.77],17.77,17.77,1,booksrun_internal_api,found
Cultural,Amid the Chaos,9789199071510,9199071517,Â£36.58,[],,,0,booksrun_internal_api,not_found
Nonfiction,Agnostic: A Spirited Manifesto,9780698194472,0698194470,Â£12.51,[],,,0,booksrun_internal_api,not_found
History,Zealot: The Life and Times of Jesus of Nazareth,9781908906281,1908906286,Â£24.70,[],,,0,booksrun_internal_api,not_found
Thriller,You (You #1),9781493143337,1493143336,Â£43.61,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",9781401269432,1401269435,Â£37.34,[],,,0,booksrun_internal_api,not_found
Young Adult,Wild Swans,9780743246989,0743246985,Â£14.36,[21.6],21.6,21.6,1,booksrun_internal_api,found
Politics,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,9781476763811,147676381X,Â£52.65,[],,,0,booksrun_internal_api,not_found
Nonfiction,What's It Like in Space?: Stories from Astronauts Who've Been There,9781452148717,1452148716,Â£19.60,[],,,0,booksrun_internal_api,not_found
Sequential Art,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",9781978819795,197881979X,Â£53.90,[],,,0,booksrun_internal_api,not_found
Childrens,Walt Disney's Alice in Wonderland,9781484742822,1484742826,Â£12.96,[],,,0,booksrun_internal_api,not_found
Default,V for Vendetta (V for Vendetta Complete),9781842438220,1842438220,Â£37.10,[],,,0,booksrun_internal_api,not_found
Young Adult,Until Friday Night (The Field Party #1),9781481438858,1481438859,Â£46.31,[20.03],20.03,20.03,1,booksrun_internal_api,found
Default,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",9780679603757,0679603751,Â£45.95,[],,,0,booksrun_internal_api,not_found
Childrens,Twenty Yawns,9781477830680,1477830685,Â£22.08,[],,,0,booksrun_internal_api,not_found
Sequential Art,Through the Woods,9781937226527,1937226522,Â£25.38,[],,,0,booksrun_internal_api,not_found
