book_id,book_title,news_id,news_title,similarity_score,rank
11,"1,000 Places to See Before You Die",34,Seeing the light: Ewigbyte’s optical archive storage technology and strategy - Blocks and Files,0.0156,3
12,Sharp Objects,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0154,1
12,Sharp Objects,45,Deck the halls with Webex calls: How Cisco technology brings holiday cheer to hospitals - Cisco Blogs,0.0136,2
12,Sharp Objects,9,InfoWorld’s 2025 Technology of the Year Award winners - InfoWorld,0.0046,3
13,"In a Dark, Dark Wood",1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0189,1
13,"In a Dark, Dark Wood",8,Review reinstated for England after technology failure on day 1 of third Ashes Test - India TV News,0.0114,2
13,"In a Dark, Dark Wood",22,"Karnataka's Siddhartha Academy of Higher Education Partners with upGrad School of Technology to Drive Industry-Linked, On-Campus Innovation - ANI News",0.0093,3
14,The Past Never Ends,1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0457,1
14,The Past Never Ends,41,Diabetes Dialogue: 2026 Technology Updates and American Diabetes Association Standards of Care - HCPLive,0.0071,2
14,The Past Never Ends,49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0,3
15,A Murder in Time,21,Clean Science & Technology Stock Hits All-Time Low Amid Prolonged Downtrend - Markets Mojo,0.048,1
15,A Murder in Time,24,Empowering rising stars in nuclear science and technology - Nuclear Energy Agency (NEA),0.0378,2
15,A Murder in Time,8,Review reinstated for England after technology failure on day 1 of third Ashes Test - India TV News,0.03,3
16,The Murder of Roger Ackroyd (Hercule Poirot #4),35,A Letter from Crawford Del Prete - International Data Corporation,0.0252,1
16,The Murder of Roger Ackroyd (Hercule Poirot #4),48,BLOCK Technology rebrands as Timotec Reinraumtechnik following strategic consolidation - Cleanroom Technology,0.017,2
16,The Murder of Roger Ackroyd (Hercule Poirot #4),27,Using AI Physics for Technology Computer-Aided Design Simulations - NVIDIA Developer,0.0168,3
17,The Last Mile (Amos Decker #2),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0101,1
17,The Last Mile (Amos Decker #2),36,New Technology Can Create Composite Structures in Space - Assembly Magazine,0.0095,2
17,The Last Mile (Amos Decker #2),12,Four Futures for the New Economy: Geoeconomics and Technology in 2030 - The World Economic Forum,0.0093,3
18,That Darkness (Gardiner and Renner #1),31,OQ Technology Believes Semiconductor IoT Breakthrough Will Open new Markets - Via Satellite,0.0294,1
18,That Darkness (Gardiner and Renner #1),4,2025 in review: How technology shapes our world - news.cgtn.com,0.0039,2
18,That Darkness (Gardiner and Renner #1),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0038,3
19,Tastes Like Fear (DI Marnie Rome #3),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0142,1
19,Tastes Like Fear (DI Marnie Rome #3),9,InfoWorld’s 2025 Technology of the Year Award winners - InfoWorld,0.0115,2
19,Tastes Like Fear (DI Marnie Rome #3),38,Ras Technology - Complete Racing Solution Contract With Stake Will Not Be Renewed At End Of Current 2-Year Term In May 2026 - TradingView — Track All Markets,0.0091,3
20,A Time of Torment (Charlie Parker #14),7,"England, umpire expert suggest faulty technology saved Carey - cricket.com.au",0.0386,1
20,A Time of Torment (Charlie Parker #14),1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0158,2
20,A Time of Torment (Charlie Parker #14),21,Clean Science & Technology Stock Hits All-Time Low Amid Prolonged Downtrend - Markets Mojo,0.0038,3
21,A Study in Scarlet (Sherlock Holmes #1),25,E-commerce transformation through blockchain technology - Digital Watch Observatory,0.0452,1
21,A Study in Scarlet (Sherlock Holmes #1),29,"Geospatial technologies to play key role in Viksit Bharat, says Dr Jitendra Singh - DD News",0.0304,2
21,A Study in Scarlet (Sherlock Holmes #1),18,"T-TeC Technology Contest, seventh edition kicks off - Leonardo S.p.A.",0.0236,3
22,Poisonous (Max Revere Novels #3),9,InfoWorld’s 2025 Technology of the Year Award winners - InfoWorld,0.0193,1
22,Poisonous (Max Revere Novels #3),38,Ras Technology - Complete Racing Solution Contract With Stake Will Not Be Renewed At End Of Current 2-Year Term In May 2026 - TradingView — Track All Markets,0.0154,2
22,Poisonous (Max Revere Novels #3),35,A Letter from Crawford Del Prete - International Data Corporation,0.0151,3
23,Murder at the 42nd Street Library (Raymond Ambler #1),50,Vue Flagship ‘EPIC’ Amsterdam Cinema Focuses On Technology Innovation - Forbes,0.0471,1
23,Murder at the 42nd Street Library (Raymond Ambler #1),28,Hon Hai Technology Group (Foxconn) Board Director Ching-Ray Chang Distinguished As UNESCO Quantum 100 Honoree - PR Newswire,0.0265,2
23,Murder at the 42nd Street Library (Raymond Ambler #1),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0104,3
24,Most Wanted,50,Vue Flagship ‘EPIC’ Amsterdam Cinema Focuses On Technology Innovation - Forbes,0.0,1
24,Most Wanted,49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0,2
24,Most Wanted,48,BLOCK Technology rebrands as Timotec Reinraumtechnik following strategic consolidation - Cleanroom Technology,0.0,3
25,Hide Away (Eve Duncan #20),22,"Karnataka's Siddhartha Academy of Higher Education Partners with upGrad School of Technology to Drive Industry-Linked, On-Campus Innovation - ANI News",0.0372,1
25,Hide Away (Eve Duncan #20),50,Vue Flagship ‘EPIC’ Amsterdam Cinema Focuses On Technology Innovation - Forbes,0.0,2
25,Hide Away (Eve Duncan #20),48,BLOCK Technology rebrands as Timotec Reinraumtechnik following strategic consolidation - Cleanroom Technology,0.0,3
26,Boar Island (Anna Pigeon #19),6,Ashes 2025-26 - England have review reinstated after technology failure on Carey appeal - ESPNcricinfo,0.0393,1
26,Boar Island (Anna Pigeon #19),39,Patented: Island Technology's Kernel-Based Protection of Computer Processes and More North Texas Inventive Activity - Dallas Innovates,0.0109,2
26,Boar Island (Anna Pigeon #19),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0061,3
27,The Widow,49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0501,1
27,The Widow,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0069,2
27,The Widow,36,New Technology Can Create Composite Structures in Space - Assembly Magazine,0.0065,3
28,Playing with Fire,34,Seeing the light: Ewigbyte’s optical archive storage technology and strategy - Blocks and Files,0.012,1
28,Playing with Fire,46,Nvidia settles trade-secret lawsuit over driving assistance technology - Reuters,0.0087,2
28,Playing with Fire,21,Clean Science & Technology Stock Hits All-Time Low Amid Prolonged Downtrend - Markets Mojo,0.0075,3
29,What Happened on Beale Street (Secrets of the South Mysteries #2),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0151,1
29,What Happened on Beale Street (Secrets of the South Mysteries #2),12,Four Futures for the New Economy: Geoeconomics and Technology in 2030 - The World Economic Forum,0.014,2
29,What Happened on Beale Street (Secrets of the South Mysteries #2),36,New Technology Can Create Composite Structures in Space - Assembly Magazine,0.0078,3
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0256,1
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,UK launches taskforce to 'break down barriers' for women in tech - BBC,0.0157,2
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),28,Hon Hai Technology Group (Foxconn) Board Director Ching-Ray Chang Distinguished As UNESCO Quantum 100 Honoree - PR Newswire,0.0142,3
31,Delivering the Truth (Quaker Midwife Mystery #1),40,"How the Indian Construction Industry Is Transforming Through Technology, Sustainability, and Capacity Expansion - CII Blog",0.0291,1
31,Delivering the Truth (Quaker Midwife Mystery #1),22,"Karnataka's Siddhartha Academy of Higher Education Partners with upGrad School of Technology to Drive Industry-Linked, On-Campus Innovation - ANI News",0.0241,2
31,Delivering the Truth (Quaker Midwife Mystery #1),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0203,3
32,The Mysterious Affair at Styles (Hercule Poirot #1),16,Technology of liberation or control? The political impacts of social media. Guest post by Alexander Fertig - World Bank Blogs,0.0464,1
32,The Mysterious Affair at Styles (Hercule Poirot #1),8,Review reinstated for England after technology failure on day 1 of third Ashes Test - India TV News,0.0363,2
32,The Mysterious Affair at Styles (Hercule Poirot #1),6,Ashes 2025-26 - England have review reinstated after technology failure on Carey appeal - ESPNcricinfo,0.036,3
33,In the Woods (Dublin Murder Squad #1),19,ACSC Guide on Quantum Technology and Cybersecurity - Cyble,0.0124,1
33,In the Woods (Dublin Murder Squad #1),46,Nvidia settles trade-secret lawsuit over driving assistance technology - Reuters,0.0083,2
33,In the Woods (Dublin Murder Squad #1),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0065,3
34,The Silkworm (Cormoran Strike #2),35,A Letter from Crawford Del Prete - International Data Corporation,0.0261,1
34,The Silkworm (Cormoran Strike #2),45,Deck the halls with Webex calls: How Cisco technology brings holiday cheer to hospitals - Cisco Blogs,0.0188,2
34,The Silkworm (Cormoran Strike #2),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0052,3
35,The Exiled,33,"Micron Technology, Inc. Reports Results for the First Quarter of Fiscal 2026 - GlobeNewswire",0.0196,1
35,The Exiled,2,US pauses implementation of $40 billion technology deal with Britain - Reuters,0.0179,2
35,The Exiled,3,UK looks to restart cooperation after U.S. suspends tech deal - The Hindu,0.0158,3
36,The Cuckoo's Calling (Cormoran Strike #1),4,2025 in review: How technology shapes our world - news.cgtn.com,0.0032,1
36,The Cuckoo's Calling (Cormoran Strike #1),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0031,2
36,The Cuckoo's Calling (Cormoran Strike #1),12,Four Futures for the New Economy: Geoeconomics and Technology in 2030 - The World Economic Forum,0.0029,3
37,Extreme Prey (Lucas Davenport #26),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.012,1
37,Extreme Prey (Lucas Davenport #26),29,"Geospatial technologies to play key role in Viksit Bharat, says Dr Jitendra Singh - DD News",0.0116,2
37,Extreme Prey (Lucas Davenport #26),36,New Technology Can Create Composite Structures in Space - Assembly Magazine,0.0113,3
38,Career of Evil (Cormoran Strike #3),23,Cricket Australia Boss Slams Technology 'Howler' In Ashes Test - Barron's,0.0331,1
38,Career of Evil (Cormoran Strike #3),39,Patented: Island Technology's Kernel-Based Protection of Computer Processes and More North Texas Inventive Activity - Dallas Innovates,0.0154,2
38,Career of Evil (Cormoran Strike #3),21,Clean Science & Technology Stock Hits All-Time Low Amid Prolonged Downtrend - Markets Mojo,0.0028,3
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),24,Empowering rising stars in nuclear science and technology - Nuclear Energy Agency (NEA),0.1384,1
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),50,Vue Flagship ‘EPIC’ Amsterdam Cinema Focuses On Technology Innovation - Forbes,0.0,2
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),48,BLOCK Technology rebrands as Timotec Reinraumtechnik following strategic consolidation - Cleanroom Technology,0.0,3
40,The Girl You Lost,38,Ras Technology - Complete Racing Solution Contract With Stake Will Not Be Renewed At End Of Current 2-Year Term In May 2026 - TradingView — Track All Markets,0.0286,1
40,The Girl You Lost,1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0116,2
40,The Girl You Lost,43,Credo Technology Stock Is Down 28% in Two Weeks. Is the Dip Worth Buying? - The Motley Fool,0.0107,3
41,The Girl In The Ice (DCI Erika Foster #1),31,OQ Technology Believes Semiconductor IoT Breakthrough Will Open new Markets - Via Satellite,0.0206,1
41,The Girl In The Ice (DCI Erika Foster #1),25,E-commerce transformation through blockchain technology - Digital Watch Observatory,0.0136,2
41,The Girl In The Ice (DCI Erika Foster #1),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0021,3
42,Blood Defense (Samantha Brinkman #1),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0314,1
42,Blood Defense (Samantha Brinkman #1),8,Review reinstated for England after technology failure on day 1 of third Ashes Test - India TV News,0.0183,2
42,Blood Defense (Samantha Brinkman #1),16,Technology of liberation or control? The political impacts of social media. Guest post by Alexander Fertig - World Bank Blogs,0.0181,3
43,1st to Die (Women's Murder Club #1),5,UK launches taskforce to 'break down barriers' for women in tech - BBC,0.0298,1
43,1st to Die (Women's Murder Club #1),21,Clean Science & Technology Stock Hits All-Time Low Amid Prolonged Downtrend - Markets Mojo,0.0131,2
43,1st to Die (Women's Murder Club #1),2,US pauses implementation of $40 billion technology deal with Britain - Reuters,0.0115,3
44,Tipping the Velvet,4,2025 in review: How technology shapes our world - news.cgtn.com,0.043,1
44,Tipping the Velvet,14,Hype Correction - MIT Technology Review,0.0421,2
44,Tipping the Velvet,10,AI coding is now everywhere. But not everyone is convinced. - MIT Technology Review,0.0405,3
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,16,Technology of liberation or control? The political impacts of social media. Guest post by Alexander Fertig - World Bank Blogs,0.0365,1
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,42,"Nitin Srivastava: The Transformational IT Leader Bridging Technology, Culture & Social Responsibility - India Technology News",0.0357,2
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,39,Patented: Island Technology's Kernel-Based Protection of Computer Processes and More North Texas Inventive Activity - Dallas Innovates,0.0158,3
46,A Flight of Arrows (The Pathfinders #2),42,"Nitin Srivastava: The Transformational IT Leader Bridging Technology, Culture & Social Responsibility - India Technology News",0.0087,1
46,A Flight of Arrows (The Pathfinders #2),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0026,2
46,A Flight of Arrows (The Pathfinders #2),36,New Technology Can Create Composite Structures in Space - Assembly Magazine,0.0025,3
47,The House by the Lake,22,"Karnataka's Siddhartha Academy of Higher Education Partners with upGrad School of Technology to Drive Industry-Linked, On-Campus Innovation - ANI News",0.0251,1
47,The House by the Lake,46,Nvidia settles trade-secret lawsuit over driving assistance technology - Reuters,0.0165,2
47,The House by the Lake,4,2025 in review: How technology shapes our world - news.cgtn.com,0.0164,3
48,Mrs. Houdini,27,Using AI Physics for Technology Computer-Aided Design Simulations - NVIDIA Developer,0.0214,1
48,Mrs. Houdini,34,Seeing the light: Ewigbyte’s optical archive storage technology and strategy - Blocks and Files,0.0148,2
48,Mrs. Houdini,39,Patented: Island Technology's Kernel-Based Protection of Computer Processes and More North Texas Inventive Activity - Dallas Innovates,0.0088,3
49,The Marriage of Opposites,39,Patented: Island Technology's Kernel-Based Protection of Computer Processes and More North Texas Inventive Activity - Dallas Innovates,0.0183,1
49,The Marriage of Opposites,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0173,2
49,The Marriage of Opposites,1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0126,3
50,Glory over Everything: Beyond The Kitchen House,46,Nvidia settles trade-secret lawsuit over driving assistance technology - Reuters,0.0155,1
50,Glory over Everything: Beyond The Kitchen House,1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0099,2
50,Glory over Everything: Beyond The Kitchen House,39,Patented: Island Technology's Kernel-Based Protection of Computer Processes and More North Texas Inventive Activity - Dallas Innovates,0.0072,3
51,"Love, Lies and Spies",50,Vue Flagship ‘EPIC’ Amsterdam Cinema Focuses On Technology Innovation - Forbes,0.0,1
51,"Love, Lies and Spies",49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0,2
51,"Love, Lies and Spies",48,BLOCK Technology rebrands as Timotec Reinraumtechnik following strategic consolidation - Cleanroom Technology,0.0,3
52,A Paris Apartment,23,Cricket Australia Boss Slams Technology 'Howler' In Ashes Test - Barron's,0.0283,1
52,A Paris Apartment,5,UK launches taskforce to 'break down barriers' for women in tech - BBC,0.0129,2
52,A Paris Apartment,1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0098,3
53,Lilac Girls,16,Technology of liberation or control? The political impacts of social media. Guest post by Alexander Fertig - World Bank Blogs,0.034,1
53,Lilac Girls,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0288,2
53,Lilac Girls,12,Four Futures for the New Economy: Geoeconomics and Technology in 2030 - The World Economic Forum,0.0266,3
54,The Constant Princess (The Tudor Court #1),8,Review reinstated for England after technology failure on day 1 of third Ashes Test - India TV News,0.052,1
54,The Constant Princess (The Tudor Court #1),6,Ashes 2025-26 - England have review reinstated after technology failure on Carey appeal - ESPNcricinfo,0.0515,2
54,The Constant Princess (The Tudor Court #1),47,England unhappy with review technology after Carey reprieved in Adelaide test - Reuters,0.0511,3
55,The Invention of Wings,16,Technology of liberation or control? The political impacts of social media. Guest post by Alexander Fertig - World Bank Blogs,0.0233,1
55,The Invention of Wings,5,UK launches taskforce to 'break down barriers' for women in tech - BBC,0.0218,2
55,The Invention of Wings,3,UK looks to restart cooperation after U.S. suspends tech deal - The Hindu,0.0119,3
56,World Without End (The Pillars of the Earth #2),38,Ras Technology - Complete Racing Solution Contract With Stake Will Not Be Renewed At End Of Current 2-Year Term In May 2026 - TradingView — Track All Markets,0.0402,1
56,World Without End (The Pillars of the Earth #2),25,E-commerce transformation through blockchain technology - Digital Watch Observatory,0.032,2
56,World Without End (The Pillars of the Earth #2),30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0257,3
57,The Passion of Dolssa,9,InfoWorld’s 2025 Technology of the Year Award winners - InfoWorld,0.0111,1
57,The Passion of Dolssa,38,Ras Technology - Complete Racing Solution Contract With Stake Will Not Be Renewed At End Of Current 2-Year Term In May 2026 - TradingView — Track All Markets,0.0088,2
57,The Passion of Dolssa,49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0,3
58,Girl With a Pearl Earring,34,Seeing the light: Ewigbyte’s optical archive storage technology and strategy - Blocks and Files,0.0196,1
58,Girl With a Pearl Earring,29,"Geospatial technologies to play key role in Viksit Bharat, says Dr Jitendra Singh - DD News",0.0178,2
58,Girl With a Pearl Earring,9,InfoWorld’s 2025 Technology of the Year Award winners - InfoWorld,0.0051,3
59,Voyager (Outlander #3),36,New Technology Can Create Composite Structures in Space - Assembly Magazine,0.0171,1
59,Voyager (Outlander #3),21,Clean Science & Technology Stock Hits All-Time Low Amid Prolonged Downtrend - Markets Mojo,0.0109,2
59,Voyager (Outlander #3),49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0,3
60,The Red Tent,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0133,1
60,The Red Tent,12,Four Futures for the New Economy: Geoeconomics and Technology in 2030 - The World Economic Forum,0.0123,2
60,The Red Tent,5,UK launches taskforce to 'break down barriers' for women in tech - BBC,0.0089,3
61,The Last Painting of Sara de Vos,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0204,1
61,The Last Painting of Sara de Vos,9,InfoWorld’s 2025 Technology of the Year Award winners - InfoWorld,0.0173,2
61,The Last Painting of Sara de Vos,37,How China Built its ‘Manhattan Project’ To Rival West in AI Chips - Deccan Chronicle,0.0147,3
62,The Guernsey Literary and Potato Peel Pie Society,35,A Letter from Crawford Del Prete - International Data Corporation,0.0311,1
62,The Guernsey Literary and Potato Peel Pie Society,39,Patented: Island Technology's Kernel-Based Protection of Computer Processes and More North Texas Inventive Activity - Dallas Innovates,0.0292,2
62,The Guernsey Literary and Potato Peel Pie Society,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0162,3
63,Girl in the Blue Coat,50,Vue Flagship ‘EPIC’ Amsterdam Cinema Focuses On Technology Innovation - Forbes,0.0446,1
63,Girl in the Blue Coat,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0272,2
63,Girl in the Blue Coat,1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0198,3
64,Between Shades of Gray,49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0387,1
64,Between Shades of Gray,39,Patented: Island Technology's Kernel-Based Protection of Computer Processes and More North Texas Inventive Activity - Dallas Innovates,0.0215,2
64,Between Shades of Gray,9,InfoWorld’s 2025 Technology of the Year Award winners - InfoWorld,0.011,3
65,While You Were Mine,38,Ras Technology - Complete Racing Solution Contract With Stake Will Not Be Renewed At End Of Current 2-Year Term In May 2026 - TradingView — Track All Markets,0.0234,1
65,While You Were Mine,31,OQ Technology Believes Semiconductor IoT Breakthrough Will Open new Markets - Via Satellite,0.0149,2
65,While You Were Mine,41,Diabetes Dialogue: 2026 Technology Updates and American Diabetes Association Standards of Care - HCPLive,0.0136,3
66,The Secret Healer,5,UK launches taskforce to 'break down barriers' for women in tech - BBC,0.0147,1
66,The Secret Healer,46,Nvidia settles trade-secret lawsuit over driving assistance technology - Reuters,0.0063,2
66,The Secret Healer,21,Clean Science & Technology Stock Hits All-Time Low Amid Prolonged Downtrend - Markets Mojo,0.0027,3
67,Starlark,36,New Technology Can Create Composite Structures in Space - Assembly Magazine,0.0283,1
67,Starlark,16,Technology of liberation or control? The political impacts of social media. Guest post by Alexander Fertig - World Bank Blogs,0.0212,2
67,Starlark,21,Clean Science & Technology Stock Hits All-Time Low Amid Prolonged Downtrend - Markets Mojo,0.012,3
68,Lost Among the Living,8,Review reinstated for England after technology failure on day 1 of third Ashes Test - India TV News,0.0296,1
68,Lost Among the Living,6,Ashes 2025-26 - England have review reinstated after technology failure on Carey appeal - ESPNcricinfo,0.0293,2
68,Lost Among the Living,47,England unhappy with review technology after Carey reprieved in Adelaide test - Reuters,0.0291,3
69,A Spy's Devotion (The Regency Spies of London #1),8,Review reinstated for England after technology failure on day 1 of third Ashes Test - India TV News,0.0571,1
69,A Spy's Devotion (The Regency Spies of London #1),6,Ashes 2025-26 - England have review reinstated after technology failure on Carey appeal - ESPNcricinfo,0.0566,2
69,A Spy's Devotion (The Regency Spies of London #1),47,England unhappy with review technology after Carey reprieved in Adelaide test - Reuters,0.0561,3
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),22,"Karnataka's Siddhartha Academy of Higher Education Partners with upGrad School of Technology to Drive Industry-Linked, On-Campus Innovation - ANI News",0.01,1
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),50,Vue Flagship ‘EPIC’ Amsterdam Cinema Focuses On Technology Innovation - Forbes,0.0,2
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),48,BLOCK Technology rebrands as Timotec Reinraumtechnik following strategic consolidation - Cleanroom Technology,0.0,3
